# t	x	v	s	E_total
0.442	0.186013	-0.219061	0	0.196998
0.443	0.185812	-0.202427	0	0.193118
0.444	0.185593	-0.219122	0	0.196232
0.445	0.185411	-0.182819	0	0.188598
0.446	0.185223	-0.189191	0	0.189435
0.447	0.185063	-0.161556	0	0.184291
0.448	0.184911	-0.152275	0	0.182555
0.449	0.18477	-0.141919	0	0.180771
0.45	0.184634	-0.137249	0	0.179867
0.451	0.184518	-0.116775	0	0.177053
0.452	0.18439	-0.129228	0	0.178348
0.453	0.184243	-0.147782	0	0.180647
0.454	0.184103	-0.140671	0	0.179364
0.455	0.183955	-0.14883	0	0.180273
0.456	0.183825	-0.131084	0	0.17755
0.457	0.183677	-0.148952	0	0.17978
0.458	0.183524	-0.153896	0	0.180247
0.459	0.183383	-0.141749	0	0.178193
0.46	0.183243	-0.141033	0	0.177835
0.461	0.183093	-0.150752	0	0.178979
0.462	0.182944	-0.150586	0	0.17868
0.463	0.182784	-0.160626	0	0.17995
0.464	0.182641	-0.144054	0	0.177164
0.465	0.182494	-0.147768	0	0.177438
0.466	0.182341	-0.154012	0	0.178101
0.467	0.18219	-0.152115	0	0.177535
0.468	0.182028	-0.162226	0	0.17883
0.469	0.181877	-0.151718	0	0.176906
0.47	0.181695	-0.183822	0	0.18196
0.471	0.181495	-0.200044	0	0.184712
0.472	0.181275	-0.220969	0	0.188717
0.473	0.181055	-0.221513	0	0.188438
0.474	0.180833	-0.22227	0	0.188206
0.475	0.180592	-0.241816	0	0.192306
0.476	0.180382	-0.211558	0	0.185066
0.477	0.180194	-0.188772	0	0.180167
0.478	0.179983	-0.211351	0	0.184305
0.479	0.179772	-0.211917	0	0.184045
0.48	0.179551	-0.2219	0	0.185813
0.481	0.179326	-0.225949	0	0.186316
0.482	0.179096	-0.231531	0	0.18718
0.483	0.178871	-0.225676	0	0.185439
0.484	0.178671	-0.201325	0	0.179882
0.485	0.178477	-0.194464	0	0.178178
0.486	0.178272	-0.205439	0	0.180008
0.487	0.178094	-0.179272	0	0.174657
0.488	0.177921	-0.173809	0	0.173384
0.489	0.177732	-0.189615	0	0.175921
0.49	0.177554	-0.179324	0	0.173706
0.491	0.177397	-0.158223	0	0.169865
0.492	0.177232	-0.165105	0	0.170686
0.493	0.177059	-0.174568	0	0.171986
0.494	0.176894	-0.16541	0	0.170138
0.495	0.176734	-0.161131	0	0.169156
0.496	0.176574	-0.161019	0	0.168855
0.497	0.176432	-0.142456	0	0.165788
0.498	0.17629	-0.142719	0	0.165576
0.499	0.176131	-0.15996	0	0.167905
0.5	0.175982	-0.150115	0	0.166116
0.501	0.175817	-0.165449	0	0.168246
0.502	0.175679	-0.139517	0	0.164048
0.503	0.17555	-0.130039	0	0.162544
0.504	0.17542	-0.130355	0	0.162357
0.505	0.175276	-0.144696	0	0.164077
0.506	0.175152	-0.125159	0	0.161224
0.507	0.175042	-0.111485	0	0.159412
0.508	0.174941	-0.101538	0	0.158176
0.509	0.17483	-0.111796	0	0.159077
0.51	0.174725	-0.105343	0	0.158193
0.511	0.174633	-0.0932282	0	0.156829
0.512	0.174527	-0.107158	0	0.158039
0.513	0.174403	-0.124306	0	0.159809
0.514	0.174292	-0.112105	0	0.158172
0.515	0.174194	-0.0991523	0	0.156633
0.516	0.174084	-0.110687	0	0.157652
0.517	0.173971	-0.113603	0	0.157783
0.518	0.173851	-0.121328	0	0.158481
0.519	0.173732	-0.119722	0	0.158081
0.52	0.173619	-0.114139	0	0.157231
0.521	0.173504	-0.115793	0	0.157222
0.522	0.173395	-0.109504	0	0.156325
0.523	0.173309	-0.0867838	0	0.153946
0.524	0.173212	-0.09841	0	0.154854
0.525	0.173119	-0.0938198	0	0.154252
0.526	0.173035	-0.0842257	0	0.153253
0.527	0.172961	-0.0749881	0	0.15239
0.528	0.172901	-0.0609656	0	0.151332
0.529	0.17281	-0.0919627	0	0.153545
0.53	0.172695	-0.116223	0	0.155871
0.531	0.172569	-0.126911	0	0.156953
0.532	0.172479	-0.0909328	0	0.152879
0.533	0.172379	-0.100027	0	0.153576
0.534	0.172288	-0.0921933	0	0.152666
0.535	0.172204	-0.0851056	0	0.151892
0.536	0.172129	-0.0755396	0	0.150995
0.537	0.17206	-0.0703825	0	0.150499
0.538	0.17199	-0.0700997	0	0.15036
0.539	0.171904	-0.0872646	0	0.151562
0.54	0.171822	-0.0824906	0	0.151017
0.541	0.17175	-0.0730303	0	0.150157
0.542	0.171663	-0.0883995	0	0.151248
0.543	0.171557	-0.106998	0	0.152882
0.544	0.171442	-0.114884	0	0.153562
0.545	0.171313	-0.130358	0	0.155237
0.546	0.171188	-0.126034	0	0.154469
0.547	0.171067	-0.121226	0	0.153668
0.548	0.170963	-0.105783	0	0.151736
0.549	0.170853	-0.109977	0	0.152002
0.55	0.17078	-0.0744588	0	0.148601
0.551	0.170716	-0.0643398	0	0.14779
0.552	0.170646	-0.0707815	0	0.148106
0.553	0.170575	-0.0725281	0	0.148109
0.554	0.170498	-0.0778011	0	0.148374
0.555	0.170417	-0.0811589	0	0.148504
0.556	0.170322	-0.095855	0	0.149643
0.557	0.170228	-0.0951083	0	0.149411
0.558	0.170111	-0.117842	0	0.151633
0.559	0.17	-0.112244	0	0.150799
0.56	0.169884	-0.116525	0	0.151092
0.561	0.169777	-0.108007	0	0.149954
0.562	0.16968	-0.0982316	0	0.148781
0.563	0.169582	-0.0981291	0	0.148605
0.564	0.169472	-0.11083	0	0.149746
0.565	0.169378	-0.0946858	0	0.147928
0.566	0.169262	-0.11767	0	0.150171
0.567	0.16915	-0.112621	0	0.1494
0.568	0.169056	-0.094235	0	0.147341
0.569	0.168969	-0.0884892	0	0.146668
0.57	0.168885	-0.0850698	0	0.146229
0.571	0.168814	-0.0712121	0	0.145027
0.572	0.168774	-0.0407796	0	0.143255
0.573	0.168761	-0.0144864	0	0.142506
0.574	0.168753	-0.00808261	0	0.142421
0.575	0.168739	-0.0153489	0	0.142482
0.576	0.168725	-0.0144247	0	0.142445
0.577	0.168696	-0.0299323	0	0.14274
0.578	0.168672	-0.0251169	0	0.142567
0.579	0.168641	-0.0313809	0	0.142692
0.58	0.168628	-0.014761	0	0.142285
0.581	0.168613	-0.01546	0	0.142271
0.582	0.168626	0.012393	0	0.142251
0.583	0.168621	-0.00593671	0	0.142183
0.584	0.168607	-0.0153871	0	0.142259
0.585	0.168594	-0.0133904	0	0.142209
0.586	0.1686	0.00525089	0	0.142144
0.587	0.168632	0.0314841	0	0.14268
0.588	0.168677	0.0435239	0	0.143206
0.589	0.168746	0.0685201	0	0.144724
0.59	0.168805	0.0582534	0	0.144173
0.591	0.168848	0.0424206	0	0.143449
0.592	0.168893	0.044178	0	0.143601
0.593	0.168895	0.00089857	0	0.142628
0.594	0.16891	0.0143865	0	0.142757
0.595	0.168913	0.00128573	0	0.142658
0.596	0.168922	0.00832494	0	0.142707
0.597	0.16892	-0.00223508	0	0.142673
0.598	0.168931	0.00970257	0	0.142735
0.599	0.168922	-0.0101105	0	0.142724
0.6	0.168921	-0.00105283	0	0.142673
0.601	0.168932	0.00981619	0	0.142738
0.602	0.168931	-0.00151841	0	0.14269
0.603	0.168931	-0.00116612	0	0.142689
0.604	0.16893	-0.00240603	0	0.142689
0.605	0.168924	-0.00671491	0	0.142699
0.606	0.168944	0.0189745	0	0.14289
0.607	0.168943	-0.00128972	0	0.14271
0.608	0.168932	-0.0119966	0	0.142762
0.609	0.168912	-0.0210102	0	0.142877
0.61	0.168894	-0.0189699	0	0.142805
0.611	0.168859	-0.0355747	0	0.143199
0.612	0.168832	-0.0281967	0	0.142918
0.613	0.168785	-0.0477865	0	0.143583
0.614	0.168732	-0.053174	0	0.143767
0.615	0.168683	-0.0499943	0	0.14352
0.616	0.168633	-0.051067	0	0.143489
0.617	0.168573	-0.0611064	0	0.143951
0.618	0.168505	-0.0689106	0	0.144343
0.619	0.168428	-0.0777975	0	0.144866
0.62	0.168339	-0.0898032	0	0.145722
0.621	0.168249	-0.0904867	0	0.145633
0.622	0.168172	-0.0778193	0	0.144437
0.623	0.168101	-0.0717973	0	0.143867
0.624	0.168037	-0.0650524	0	0.143298
0.625	0.167969	-0.0683503	0	0.143404
